iso3,name,region,income_group,overall_centrality,nn_centrality,n_centrality,ed_centrality,ing_centrality,n_partners,n_agreements,avg_enforceable,max_enforceable,overall_rank,nn_rank,n_rank,ed_rank,ing_rank
RUS,Russia,ECA,Developed,0.005088100194050455,0.0030719661510793623,0.009909135380017817,0.0047627588738456,0.009616195413791209,14,14,87.28571428571429,258,170,164,133,134,153
ARE,UAE,MENA,Developed,0.0047370004475087305,0.003449178052856206,0.004046598605713412,0.004896962498951736,0.0008858825400980144,21,6,97.0,252,171,159,155,133,180
KWT,Kuwait,MENA,Developing,0.004538334514113338,0.003449178052856206,0.0032657381107700748,0.004575341672684623,0.003404522533516315,20,4,82.5,148,172,159,159,135,172
QAT,Qatar,MENA,Developing,0.004538334514113338,0.003449178052856206,0.0030756428943815644,0.004575341672684623,0.0034045225335163115,20,4,82.5,148,172,159,162,135,173
SAU,Saudi Arabia,MENA,Developing,0.004538334514113334,0.003449178052856206,0.003265738110770072,0.004575341672684623,0.0034045225335163254,20,4,82.5,148,174,159,160,135,171
ERI,ERI,SSA,Developing,0.00451994427049517,0.0021160969093514254,0.03605214231688203,0.00030588473543386943,0.019863503706782967,18,3,158.66666666666666,160,175,171,114,188,136
BOL,Bolivia,LAC,Developing,0.004348140702025336,0.0008485369295542621,0.005900763470046499,0.0007575853506539287,0.007433607582521953,44,5,56.4,104,176,187,149,150,155
VEN,Venezuela,LAC,Developing,0.004042567174839336,0.0008485369295542621,0.005785831283492284,0.0007575853506539287,0.00693228685006626,44,4,47.25,104,177,187,150,150,156
BRA,Brazil,LAC,Developing,0.0033772449586610205,0.0015994036215792769,0.007129043554367979,0.0009627266396740662,0.006309905988251193,50,10,45.4,150,178,176,143,141,158
ARG,Argentina,LAC,Developing,0.003322841782406167,0.0016038447512113762,0.006433497991609301,0.0009627266396740662,0.006220786876465227,50,9,48.55555555555556,150,179,175,147,141,159
